year,lake,water_surface_temp,air_temp,evaporation,lake_precipitation,land_precipitation,runoff,water_level
1973,superior,7,5,569,810,818,626,183.6
1974,superior,6,3,581,769,840,662,183.6
1975,superior,6,4,631,797,787,593,183.6
1976,superior,6,3,740,652,673,524,183.5
1977,superior,6,4,453,973,981,557,183.4
1978,superior,6,3,597,787,755,546,183.4
1979,superior,5,3,460,901,871,747,183.5
1980,superior,6,3,607,798,773,563,183.4
1981,superior,6,4,549,772,721,540,183.4
1982,superior,5,3,558,964,930,635,183.4
1983,superior,7,4,646,873,848,637,183.6
1984,superior,6,4,568,808,832,636,183.5
1985,superior,6,3,600,1003,968,725,183.7
1986,superior,6,4,503,751,821,646,183.7
1987,superior,8,6,584,698,703,386,183.5
1988,superior,7,4,680,879,944,555,183.3
1989,superior,6,3,644,699,717,604,183.4
1990,superior,6,5,552,742,819,537,183.3
1991,superior,7,4,599,871,901,572,183.3
1992,superior,7,4,574,787,852,677,183.4
1993,superior,6,3,589,750,808,662,183.5
1994,superior,6,4,511,721,773,557,183.5
1995,superior,7,4,706,885,894,518,183.3
1996,superior,4,3,496,925,962,780,183.5
1997,superior,5,4,498,704,723,564,183.6
1998,superior,9,7,604,719,765,369,183.3
1999,superior,9,6,681,888,910,613,183.3
2000,superior,8,5,679,655,757,482,
2001,superior,7,6,583,879,880,592,
2002,superior,7,5,695,762,762,580,
2003,superior,5,4,708,697,683,505,
2004,superior,6,4,694,803,800,600,
2005,superior,,6,669,781,798,502,
2006,superior,,,,617,634,,
2007,superior,,,,818,781,,
