gene_name,chromosome,phewas phenotype,gene_id,Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - EBV-transformed lymphocytes,Cells - Transformed fibroblasts,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
CEBPE,14,Skin cancer,ENSG00000092067.5,0.1599,0.1852,0.07332,0.1671,0.2142,0.09675,0.0721,0.077755,0.05278,0.08079,0.07626,0.07956,0.06368,0.05691,0.07619,0.08762,0.09417,0.09817,0.1803,0.1441,0.091925,0.04205,0,0.05088,0.07675,0.07296,0.143,0.068405,0.05176,0.072845,0.4317,0.133,0.1123,0.08403,0.05031,0.7989,0.1013,0.1537,0.15195,0.07155,0.01838,0.1384,0.08189,0.05411,0.053,0.5393,3.2495,0.067545,0.1383,0.09407,0.1009,0.06958,10.85
CETP,16,Seborheic dermatitis,ENSG00000087237.6,2.9415,5.816,2.0785,0.4712,0.8764,0.3225,0.3762,0.2926,0.3175,0.50025,0.3087,0.3437,0.36,0.2874,0.382,0.2932,0.3833,0.49395,0.5576,0.4616,3.0415,5.8665,0.08714,0.38175,0.3718,0.3874,0.4134,0.2716,0.1937,0.2567,0.3925,0.4085,0.1982,2.82,2.36,2.827,0.3353,0.13275,0.3698,0.2895,0.26605,4.033,0.58505,0.4021,0.4726,0.8741,40.385,0.38785,0.6427,6.8205,0.6661,0.3484,1.22
CHIC2,4,Skin cancer,ENSG00000109220.6,30.03,31.5,20.165,27.41,28.8,25.09,24.52,6.818,6.45,6.038,12.45,9.977,5.581,8.06,5.872,8.783,6.406,4.595,9.886,6.563,30.97,19.98,46.07,29.3,36.93,20.01,16.32,17.24,37.55,16.405,23.38,11.87,5.495,13.25,11.97,36.07,24.85,6.7115,36.07,26.84,6.6545,17.6,25.335,38.69,43.78,19.44,29.575,13.2,92.27,25.44,27.87,32.43,40.95
CHL1,3,Acne,ENSG00000134121.5,6.7865,5.914,0.8613,0.4528,5.119,0.748,2.485,13.105,19.98,11.93,10.2,11.52,23.795,39.09,12.4,19.84,19.16,8.42,6.271,10.67,8.7445,4.0285,0.07343,5.1545,3.579,14.83,5.145,8.1245,3.404,8.527,4.033,6.916,0.7252,3.433,0.1497,3.209,5.204,0.1102,60.19,16.07,0.31515,2.35,3.3775,7.545,10.61,4.351,1.3665,1.392,1.083,1.181,1.72,4.699,0.03961
CHL1,3,Seborheic dermatitis,ENSG00000134121.5,6.7865,5.914,0.8613,0.4528,5.119,0.748,2.485,13.105,19.98,11.93,10.2,11.52,23.795,39.09,12.4,19.84,19.16,8.42,6.271,10.67,8.7445,4.0285,0.07343,5.1545,3.579,14.83,5.145,8.1245,3.404,8.527,4.033,6.916,0.7252,3.433,0.1497,3.209,5.204,0.1102,60.19,16.07,0.31515,2.35,3.3775,7.545,10.61,4.351,1.3665,1.392,1.083,1.181,1.72,4.699,0.03961
CHL1,3,Photodermatitis & sunburn,ENSG00000134121.5,6.7865,5.914,0.8613,0.4528,5.119,0.748,2.485,13.105,19.98,11.93,10.2,11.52,23.795,39.09,12.4,19.84,19.16,8.42,6.271,10.67,8.7445,4.0285,0.07343,5.1545,3.579,14.83,5.145,8.1245,3.404,8.527,4.033,6.916,0.7252,3.433,0.1497,3.209,5.204,0.1102,60.19,16.07,0.31515,2.35,3.3775,7.545,10.61,4.351,1.3665,1.392,1.083,1.181,1.72,4.699,0.03961
CLEC16A,16,Psoriasis,ENSG00000038532.10,9.7665,10.29,10.685,11.07,9.729,9.658,11.33,6.5995,9.341,8.7745,23.27,27.18,13.845,12.28,7.427,9.808,9.829,7.444,9.243,8.5895,11.17,19.705,10.78,13.925,14.08,9.963,9.1575,9.778,12.27,10.09,13.33,6.714,5.558,9.088,6.503,16.12,9.821,8.769,19.08,10.77,3.65,19.87,13.48,14.12,15.18,11.36,13.45,8.396,49.67,17.995,13.7,12.59,4.882
CMIP,16,Seborheic dermatitis,ENSG00000153815.12,37.595,29.66,23.975,12.28,19.32,11.1,35.05,26.69,33.73,17.01,24.185,24,39.335,48.1,22.37,36.68,30.13,12.785,22.12,17.235,32.385,24.66,14.54,44.24,53.48,26.77,29.565,18.745,40.9,16.18,35.54,8.32,3.806,17.01,7.408,40.05,26.69,2.3395,27.67,33.92,8.5505,51.66,25.725,44.77,46.86,44.01,28.675,22.96,27,25.8,29.49,49.18,29.52
CMTM8,3,Skin cancer,ENSG00000170293.4,22.805,17.39,16.695,4.706,7.484,5.012,7.692,3.4685,4.15,3.2335,2.0735,2.206,3.9745,4.288,3.712,3.916,2.399,3.1625,4.127,4.464,25.605,0.06173,3.382,4.773,7.553,3.074,6.6995,4.831,4.464,4.7065,7.099,6.889,5.655,9.368,25.82,32.36,29.85,2.6245,12.325,1.818,25.755,6.045,14.325,12.27,13.65,7.79,2.1255,18.11,2.62,27.12,8.52,6.109,1.751
CNTN4,3,Seborheic dermatitis,ENSG00000144619.10,1.9365,2.693,0.33325,24.67,10.66,23.33,2.712,2.3205,3.916,1.9275,13.45,9.379,4.0195,6.813,0.8569,2.146,1.653,1.4215,0.7665,2.2755,2.059,0.013345,0.01739,5.5625,6.878,2.007,2.493,2.477,0.7806,1.9075,3.445,1.04,0.2118,0.7135,0.464,2.642,1.067,0.2385,15.405,0.6656,0.55545,6.154,3.121,0.6274,0.6294,2.808,0.25445,1.2455,8.394,10.315,4.588,3.899,0.0113
COL13A1,10,Photodermatitis & sunburn,ENSG00000197467.9,1.3965,0.8378,1.428,29.97,9.651,21.99,3.759,0.1966,0.403,0.37635,84.275,82.28,0.6857,0.5829,0.2504,0.4357,0.3057,0.35405,0.8394,0.32735,0.95095,0.02676,4.171,5.31,9.301,4.516,3.52,2.2635,1.724,2.887,4.558,2.581,0.3828,1.143,0.2297,12.22,0.4508,0.5353,0.57685,1.116,0.58585,3.595,10.45,3.003,3.463,3.252,8.497,3.371,0.8683,1.8875,2.399,1.802,0.1171
CPEB4,5,Seborheic dermatitis,ENSG00000113742.8,13.245,11.17,39.595,14.5,15.91,16.87,10.62,11.13,12.21,11.335,36.38,29.01,12.205,16.64,11.05,13.63,12.3,9.407,17,11.025,13.3,16.825,6.074,8.89,8.851,10.04,6.6415,9.955,15.14,10.66,8.344,14.62,15.14,10.3,7.975,18.66,20.07,26,9.95,7.024,7.1435,17.79,9.0485,12.65,13.95,7.834,12.62,10.565,9.213,20.21,10.57,10.96,7.416
CR1,1,Skin cancer,ENSG00000203710.6,1.764,2.834,0.50025,1.071,1.203,0.2306,1.018,0.08491,0.0556,0.08901,0.02559,0.03094,0.073075,0.05584,0.1253,0.0819,0.06385,0.07092,0.2048,0.1397,0.69285,5.3125,0.006311,0.20655,0.4508,0.714,0.5671,0.6148,0.1977,0.67085,0.6821,0.3144,0.1819,1.407,0.3026,4.054,0.344,0.098625,2.554,0.2427,0.084425,0.2434,0.2679,0.1041,0.142,2.131,32.935,0.31715,0.1964,0.31275,0.3124,0.3084,31.83
CR1L,1,Atopic or contact dermatitis,ENSG00000197721.12,0.04519,0.03636,0.060795,0.02103,0.0325,0,0.03874,0.010975,0,0.014,0,0,0,0,0.009206,0.01583,0,0.010585,0.02936,0.01184,0.030275,1.607,0,0.02037,0.09897,0.02213,0.021145,0.01786,0,0.0188,0.0839,0.01374,0,0.2011,0.05558,0.2197,0.03619,0,0.04662,0,0,0.02165,0.033015,0,0.009032,0.0876,0.4404,0.013965,0.05014,0.035015,0.01749,0.0199,1.014
CR1L,1,Photodermatitis & sunburn,ENSG00000197721.12,0.04519,0.03636,0.060795,0.02103,0.0325,0,0.03874,0.010975,0,0.014,0,0,0,0,0.009206,0.01583,0,0.010585,0.02936,0.01184,0.030275,1.607,0,0.02037,0.09897,0.02213,0.021145,0.01786,0,0.0188,0.0839,0.01374,0,0.2011,0.05558,0.2197,0.03619,0,0.04662,0,0,0.02165,0.033015,0,0.009032,0.0876,0.4404,0.013965,0.05014,0.035015,0.01749,0.0199,1.014
CRHR1,17,Psoriasis,ENSG00000120088.10,0.093055,0.2212,0.010845,0.03498,0.04339,0.03174,0.1334,5.3205,7.774,1.88,61.555,58.02,13.76,12.57,3.373,3.007,2.131,1.666,1.514,1.499,0.4868,0.033485,0,2.967,1.748,0.07247,0.02537,0.097045,0.07214,0.067675,1.25,0.02088,0.01257,0.05891,0,0.02542,0.1083,0.04658,0.3951,0.1551,0.01221,18.5,1.4265,0.853,0.7387,0.07592,0.0096875,0.02491,0.862,0.38785,3.366,2.17,0.008132
CRHR1,17,Photodermatitis & sunburn,ENSG00000120088.10,0.093055,0.2212,0.010845,0.03498,0.04339,0.03174,0.1334,5.3205,7.774,1.88,61.555,58.02,13.76,12.57,3.373,3.007,2.131,1.666,1.514,1.499,0.4868,0.033485,0,2.967,1.748,0.07247,0.02537,0.097045,0.07214,0.067675,1.25,0.02088,0.01257,0.05891,0,0.02542,0.1083,0.04658,0.3951,0.1551,0.01221,18.5,1.4265,0.853,0.7387,0.07592,0.0096875,0.02491,0.862,0.38785,3.366,2.17,0.008132
CRIM1,2,Acne,ENSG00000150938.5,134.55,91.29,11.475,195.5,144.3,200.3,42.92,13.17,18.18,16.4,10.48,11.28,13.94,18.63,11.05,16.37,20.01,14.185,12.67,11.975,94.085,10.255,263.9,41.51,53.91,39.64,26.185,49.825,17.36,54.655,49.7,13.9,13.24,38.68,3.504,81.88,35.84,31.89,84.16,40.87,6.3605,9.954,29.345,34.53,39.72,19.98,32.38,12.715,14.31,48.835,52.79,33.2,0.5609
CRIM1,2,Seborheic dermatitis,ENSG00000150938.5,134.55,91.29,11.475,195.5,144.3,200.3,42.92,13.17,18.18,16.4,10.48,11.28,13.94,18.63,11.05,16.37,20.01,14.185,12.67,11.975,94.085,10.255,263.9,41.51,53.91,39.64,26.185,49.825,17.36,54.655,49.7,13.9,13.24,38.68,3.504,81.88,35.84,31.89,84.16,40.87,6.3605,9.954,29.345,34.53,39.72,19.98,32.38,12.715,14.31,48.835,52.79,33.2,0.5609
CRP,1,Psoriasis,ENSG00000132693.8,0.43185,0.2972,0.49905,0.3787,0.5074,0.1584,1.474,0.05882,0.05661,0.02837,0.1193,0.2558,0.11175,0.05311,0.05097,0.1229,0.05808,0.023075,0.1174,0.10605,0.56975,0.1171,0.9112,2.076,1.956,0.1858,0.27025,0.3118,0.4933,0.32845,1.554,0.1443,0.09671,0.291,6975,0.6533,0.5283,0.10265,0.58925,0.671,4.8985,0.3301,0.66865,0.2057,0.1853,0.3168,0.4291,0.33415,0.8281,0.3782,0.4684,0.4218,0.2159
CSMD1,8,Psoriasis,ENSG00000183117.13,0.096365,0.02175,0.016515,0.01236,0.02945,0.01616,0.06523,1.7375,2.875,1.815,2.3985,2.89,4.6175,4.768,1.915,1.813,3.132,1.374,1.33,1.4415,0.065485,0.01078,0.006314,0.042345,0.4722,0.02771,0.036175,0.058045,0.03861,0.045615,0.1207,0.01491,0.006306,0.1983,0,0.1562,0.05764,0.06894,0.05225,0.04546,0.0051505,0.07389,0.04937,0.08208,0.08087,0.05565,0.026985,0.026205,4.484,0.11075,0.09459,0.06308,0.003436
CSNK1G3,5,Skin cancer,ENSG00000151292.13,16.94,14.27,8.56,16.23,14.49,15.04,16.97,5.798,6.781,6.44,19.67,13.27,6.2075,9.79,6.407,9.259,8.773,5.047,10.2,5.9575,15.61,18.85,26.6,17.335,19.17,12.64,12.765,11.42,11.27,11.125,15.84,5.448,3.402,5.855,6.457,14.42,10.16,3.688,23.195,16.92,4.3755,11.03,11.8,9.831,9.614,12.54,10.705,8.301,12.98,13.88,20.25,15.81,2.586
CTNND2,5,Photodermatitis & sunburn,ENSG00000169862.14,0.22615,0.2761,0.1201,0.08532,0.1478,0.1092,0.1575,82.075,96.15,70.695,62.315,57.14,95.87,104.1,64.06,57.68,65.74,65.63,46.6,63.55,0.85115,0.06571,0.03245,0.11119,0.1857,1.571,0.6065,0.86975,0.09199,1.118,0.2743,1.354,1.484,0.07911,0.2221,0.6006,1.106,0.056655,1.4475,1.324,8.651,14.09,1.367,0.4731,0.2805,0.5031,5.445,0.70485,4.653,0.2823,0.1018,0.2349,0.03091
CTSH,15,Acne,ENSG00000103811.11,55.815,52.69,38.165,30.97,37.29,14.79,128.5,14.905,21.8,11.55,9.3225,11.97,23.825,22.89,18.98,14.93,11.14,10.02,24.92,19.025,63.305,256.7,3.965,83.905,159.9,27.09,25.45,25.75,26.56,22.255,58.13,18.94,14.75,103.9,28.45,219.8,50.18,6.45,49.59,65.18,20.225,26.79,75.915,51.07,57.39,52.03,81.78,46.725,15.71,40.87,50.18,69.1,55.69
CTSH,15,Psoriasis,ENSG00000103811.11,55.815,52.69,38.165,30.97,37.29,14.79,128.5,14.905,21.8,11.55,9.3225,11.97,23.825,22.89,18.98,14.93,11.14,10.02,24.92,19.025,63.305,256.7,3.965,83.905,159.9,27.09,25.45,25.75,26.56,22.255,58.13,18.94,14.75,103.9,28.45,219.8,50.18,6.45,49.59,65.18,20.225,26.79,75.915,51.07,57.39,52.03,81.78,46.725,15.71,40.87,50.18,69.1,55.69
CXCL12,10,Atopic or contact dermatitis,ENSG00000107562.12,147.95,134.1,22.31,90.03,93.78,53.51,25.87,3.3105,3.174,4.8945,1.5855,2.221,3.323,3.066,4.27,3.91,3.69,3.8805,6.14,4.498,131.1,0.52365,127.8,119.505,111.4,62.72,26.475,46.755,12.56,40.965,64.23,35.83,26.03,23.02,34.35,29.53,51.64,12.985,82.865,36.35,33.22,9.864,20.095,39.78,43.46,31.03,136.5,10.38,5.661,69.92,125.9,99.7,0.2583
CXCR5,11,Psoriasis,ENSG00000160683.4,0.14495,0.1006,0,0.3081,0.2655,0.3765,0.1982,0,0,0,0.06101,0,0,0,0,0,0,0,0,0,0.097565,2.374,0,0.287,0,0.1186,0.20685,0.10066,0.1153,0.09824,0.1244,0,0,0,0,0.2474,0,0.049505,0.09761,0.08187,0.04639,0,0.1309,0.08188,0.09527,2.119,17.695,0.09078,0.1024,0.1011,0.08928,0.1,2.561
CYP4F2,19,Acne,ENSG00000186115.8,0,0,0,0.01845,0.01441,0.01366,0.6213,0.061995,0.09231,0.023525,0.0859,0.09545,0.2218,0.1817,0.05306,0.04336,0.02384,0.011555,0.06127,0.046165,0.036135,0.31235,0,0.097635,0.09553,0.02584,1.6995,0,0.1287,0,0.1267,0,0,5.331,100.9,0.03182,0.03017,0,0.01904,0,0.037815,0.01689,2.1045,0.7958,0.4172,27.89,0.059595,0.17205,1.32,0,0.05061,0.6768,0.09425
DAP,5,Atopic or contact dermatitis,ENSG00000112977.11,84.36,69.21,127.35,201,151.3,151.9,107,30.145,31.57,31.565,12.475,14.77,30.115,28.45,28.3,25.11,34.18,25.215,34.9,24.045,85.245,113.3,167.8,112,116.6,53.52,67.08,58.44,48.41,50.455,95.19,45.15,15.3,86.03,97.54,115.6,128.6,5.395,101.6,131.4,141.55,136.3,128,59.13,67.99,86.82,72.7,113.4,56.51,150.05,119.2,79.06,52
DBNDD1,16,Photodermatitis & sunburn,ENSG00000003249.9,1.535,1.603,7.159,9.148,2.094,1.315,4.966,29.46,45.3,23.515,38.04,50.98,75.955,69.27,21.2,25.78,21.7,18.485,15.97,27.405,3.59,19.735,0.2546,1.314,1.307,3.172,2.676,4.329,26.38,4.6785,2.131,1.302,1.874,10.15,2.365,5.016,16.09,18.17,2.3445,4.212,8.857,10.65,4.921,5.102,6.288,1.783,1.513,6.1315,2.088,7.4735,1.498,9.615,0.5078
DBNDD1,16,Skin cancer,ENSG00000003249.9,1.535,1.603,7.159,9.148,2.094,1.315,4.966,29.46,45.3,23.515,38.04,50.98,75.955,69.27,21.2,25.78,21.7,18.485,15.97,27.405,3.59,19.735,0.2546,1.314,1.307,3.172,2.676,4.329,26.38,4.6785,2.131,1.302,1.874,10.15,2.365,5.016,16.09,18.17,2.3445,4.212,8.857,10.65,4.921,5.102,6.288,1.783,1.513,6.1315,2.088,7.4735,1.498,9.615,0.5078
DCAF12,9,Seborheic dermatitis,ENSG00000198876.8,20.14,20.94,41.545,16.89,18.24,14.46,20.55,6.607,7.158,7.2405,15.055,13.53,7.041,8.101,6.471,8.078,7.398,5.4035,10.63,7.3745,20.71,47.66,22.28,27.725,29.77,15.01,16.785,14.15,38.44,13.26,20.61,7.881,5.597,11.44,9.101,24.44,21.62,12.735,21.7,24.33,9.488,18.01,20.58,20.86,21.35,14.68,22.265,12.955,73.21,23.425,24.41,29.72,57.25
DCC,18,Photodermatitis & sunburn,ENSG00000187323.7,0.02716,0.01692,0.08129,0.01233,0.01509,0.01603,0.034,0.2009,0.2473,0.35495,0.14745,0.2095,0.3893,0.5432,0.2943,0.4155,0.5646,0.26045,0.2468,0.2339,0.034665,0.01021,0.01076,0.050395,0.02552,0.08429,0.06215,0.015035,0.01599,0.01635,0.09289,0.002304,0,0.03553,0.004165,0.2439,0.09396,0,0.11215,0.02963,0.0099765,0.2564,0.05091,0.02387,0.01059,0.0266,0.07204,0.049785,9.194,0.008981,0.008612,0.0561,0
DCC,18,Seborheic dermatitis,ENSG00000187323.7,0.02716,0.01692,0.08129,0.01233,0.01509,0.01603,0.034,0.2009,0.2473,0.35495,0.14745,0.2095,0.3893,0.5432,0.2943,0.4155,0.5646,0.26045,0.2468,0.2339,0.034665,0.01021,0.01076,0.050395,0.02552,0.08429,0.06215,0.015035,0.01599,0.01635,0.09289,0.002304,0,0.03553,0.004165,0.2439,0.09396,0,0.11215,0.02963,0.0099765,0.2564,0.05091,0.02387,0.01059,0.0266,0.07204,0.049785,9.194,0.008981,0.008612,0.0561,0
DCC,18,Atopic or contact dermatitis,ENSG00000187323.7,0.02716,0.01692,0.08129,0.01233,0.01509,0.01603,0.034,0.2009,0.2473,0.35495,0.14745,0.2095,0.3893,0.5432,0.2943,0.4155,0.5646,0.26045,0.2468,0.2339,0.034665,0.01021,0.01076,0.050395,0.02552,0.08429,0.06215,0.015035,0.01599,0.01635,0.09289,0.002304,0,0.03553,0.004165,0.2439,0.09396,0,0.11215,0.02963,0.0099765,0.2564,0.05091,0.02387,0.01059,0.0266,0.07204,0.049785,9.194,0.008981,0.008612,0.0561,0
DCLK1,13,Skin cancer,ENSG00000133083.10,17.895,8.681,0.4157,3.128,6.447,4.144,3.626,11.655,17.65,10.33,13.705,12.51,26.375,45.98,15.63,19.87,16.1,8.407,11.03,10.685,15.705,0.021545,1.43,8.486,10.64,4.904,2.444,7.94,1.192,5.97,7.877,3.097,1.487,0.3739,0.04901,2.163,3.556,1.0055,9.5245,6.55,0.3279,14.49,2.7485,7.723,8.307,3.446,2.3695,1.0535,1.16,3.756,6.204,7.025,0.02299
DGKD,2,Acne,ENSG00000077044.5,14.615,16.23,8.8635,30.84,20.67,34.52,16.07,7.3915,7.226,8.3085,101.85,99.75,9.056,7.935,8.803,8.998,13.47,7.0745,16.55,7.361,18.295,55.475,7.589,17.13,17.32,21.09,25.12,16.27,5.59,13.34,22.1,15.59,10.81,7.061,5.594,41.83,13.72,37.21,11.655,33.81,3.544,17.57,23.47,7.833,8.913,36.29,44.62,88.31,45.21,30.855,21.22,8.896,36.01
DGKH,13,Psoriasis,ENSG00000102780.12,6.564,5.442,1.114,8.122,7.735,9.328,13.8,1.2225,1.718,7.0075,11.525,11.54,1.782,2.309,1.349,1.746,9.099,5.132,1.04,1.4545,6.104,8.623,5.209,7.9845,8.288,6.36,4.9585,8.4525,5.178,6.8645,7.857,2.104,1.574,2.192,0.4706,12.37,4.647,1.0725,6.76,5.279,0.66185,4.363,5.127,4.912,5.361,3.943,2.692,2.132,2.632,4.865,14.99,8.404,0.4488
DGKH,13,Atopic or contact dermatitis,ENSG00000102780.12,6.564,5.442,1.114,8.122,7.735,9.328,13.8,1.2225,1.718,7.0075,11.525,11.54,1.782,2.309,1.349,1.746,9.099,5.132,1.04,1.4545,6.104,8.623,5.209,7.9845,8.288,6.36,4.9585,8.4525,5.178,6.8645,7.857,2.104,1.574,2.192,0.4706,12.37,4.647,1.0725,6.76,5.279,0.66185,4.363,5.127,4.912,5.361,3.943,2.692,2.132,2.632,4.865,14.99,8.404,0.4488
DLEU7,13,Psoriasis,ENSG00000186047.9,0.2023,0.1176,0.23155,0.1141,0.2055,0.102,0.1475,1.5165,2.113,1.261,2.846,2.267,2.54,3.295,1.396,1.865,1.869,0.99985,1.434,1.4315,0.14275,0.01607,0.02412,0.050195,0.2319,0.1697,0.15335,0.13925,0.05794,0.12695,0.14,0.07067,0.01399,0.07473,0.03697,0.3267,0.1399,0.017885,4.2325,0.05337,0.02166,0.135,0.13885,0.1032,0.1018,0.1897,0.4572,0.07506,0.618,0.11995,0.05985,0.1308,0.4299
DLEU7,13,Skin cancer,ENSG00000186047.9,0.2023,0.1176,0.23155,0.1141,0.2055,0.102,0.1475,1.5165,2.113,1.261,2.846,2.267,2.54,3.295,1.396,1.865,1.869,0.99985,1.434,1.4315,0.14275,0.01607,0.02412,0.050195,0.2319,0.1697,0.15335,0.13925,0.05794,0.12695,0.14,0.07067,0.01399,0.07473,0.03697,0.3267,0.1399,0.017885,4.2325,0.05337,0.02166,0.135,0.13885,0.1032,0.1018,0.1897,0.4572,0.07506,0.618,0.11995,0.05985,0.1308,0.4299
DLG2,11,Psoriasis,ENSG00000150672.12,0.45935,0.9878,6.693,1.169,1.303,2.5,1.41,18.565,24.7,13.475,14.59,17.47,24.575,28.77,19.25,13.32,19.25,10.64,20.47,10.64,0.6393,0.15775,0.1827,1.5025,0.955,1.893,0.56235,2.0435,1.786,1.7245,1.372,0.6985,0.4171,0.5793,0.3297,0.8234,0.948,0.2349,1.1525,2.936,0.45245,7.723,1.3265,7.052,6.682,0.416,0.4527,0.52185,2.166,3.657,1.658,1.607,0.03157
DLG2,11,Photodermatitis & sunburn,ENSG00000150672.12,0.45935,0.9878,6.693,1.169,1.303,2.5,1.41,18.565,24.7,13.475,14.59,17.47,24.575,28.77,19.25,13.32,19.25,10.64,20.47,10.64,0.6393,0.15775,0.1827,1.5025,0.955,1.893,0.56235,2.0435,1.786,1.7245,1.372,0.6985,0.4171,0.5793,0.3297,0.8234,0.948,0.2349,1.1525,2.936,0.45245,7.723,1.3265,7.052,6.682,0.416,0.4527,0.52185,2.166,3.657,1.658,1.607,0.03157
DLG2,11,Acne,ENSG00000150672.12,0.45935,0.9878,6.693,1.169,1.303,2.5,1.41,18.565,24.7,13.475,14.59,17.47,24.575,28.77,19.25,13.32,19.25,10.64,20.47,10.64,0.6393,0.15775,0.1827,1.5025,0.955,1.893,0.56235,2.0435,1.786,1.7245,1.372,0.6985,0.4171,0.5793,0.3297,0.8234,0.948,0.2349,1.1525,2.936,0.45245,7.723,1.3265,7.052,6.682,0.416,0.4527,0.52185,2.166,3.657,1.658,1.607,0.03157
DNAJC15,13,Acne,ENSG00000120675.4,24.36,18.53,28.48,24.3,25.21,26.17,18.68,17.535,15.78,15.55,9.563,9.245,13.405,17.26,17.39,20.98,16.94,14.85,51.99,24.79,20.49,31.745,54.96,14.065,16.13,31.19,25.785,20.435,15.62,24.755,17.69,21.13,17.64,15.1,10.98,20.01,14.79,14.6,21.175,4.839,8.8805,15.02,10.425,10.87,12.03,25.03,15.775,16.315,34.11,24.79,13.16,11.35,3.899
DNAJC6,1,Seborheic dermatitis,ENSG00000116675.11,2.177,1.519,6.0575,1.238,2.182,2.46,1.978,31.745,44.34,24.3,85.5,52.77,41.425,80.14,38.23,57.53,32.12,21.12,68.23,48.485,1.757,0.28885,2.505,1.218,1.186,2.981,1.273,1.7935,0.2987,1.7635,1.002,4.132,1.117,2.316,0.1882,2.411,0.9055,0.25445,7.327,0.6727,0.62685,21.52,0.949,0.9326,1.245,0.7659,1.657,1.6185,2.15,1.552,0.8186,0.9605,0.2384
DOCK3,3,Photodermatitis & sunburn,ENSG00000088538.12,1.3705,0.8083,5.052,1.185,4.483,3.864,3.899,11.75,18.96,14.465,52.965,52.31,35.785,37.62,13.03,15.57,18.63,11.19,15.05,12.04,0.6005,0.2493,0.6232,2.009,1.606,6.194,1.838,11.905,3.294,11.98,2.565,2.82,2.248,0.7981,0.1065,1.22,2.612,1.496,10.99,0.703,0.3119,14.09,3.886,2.769,4.533,0.7953,1.1625,0.8119,16.71,30.32,1.533,1.237,0.1946
DUSP10,1,Seborheic dermatitis,ENSG00000143507.13,6.2135,4.931,3.956,3.307,4.066,2.969,4.509,2.9695,2.161,3.091,5.2925,6.926,2.0805,2.415,3.392,2.782,1.835,3.028,5.457,2.551,6.933,43.195,52.73,3.455,3.107,10.7,4.555,4.567,3.762,5.6765,7.702,2.008,1.142,1.262,15.53,8.358,8.513,4.897,4.97,1.89,5.4815,2.31,3.6425,8.686,6.741,4.235,5.1445,2.1715,10.86,4.6605,3.952,4.803,3.942
DUSP9,X,Acne,ENSG00000130829.13,0.09624,0.2047,0.03515,0.07025,0.08772,0.06264,1.068,3.282,2.916,4.0455,0.2406,0.2977,2.7985,2.302,2.619,0.9449,5.851,2.8955,0.54,1.215,0.14785,0.039815,0.0427,0.067885,0.1083,0.04995,0.034965,0.0475,0.5992,0.043045,0.1234,0.03089,0.01725,20.92,0.5648,0.1004,0.1344,0.0123,0.08765,1.242,0.052165,0.05549,0.17695,0.1696,0.2076,0.04157,0.10675,0.04475,3.834,0.01898,0.05882,0.1851,0.01678
DUT,15,Psoriasis,ENSG00000128951.9,43.295,37.23,30.435,54.87,48.89,49.83,43.31,19.695,22.04,25.825,49.43,44.85,25.05,30.6,19.88,26.38,28.4,21.38,31.5,23.785,46.985,98.69,44.34,54.775,57.21,40.27,30.54,40.23,33.89,38.955,56.47,19.85,13.76,22.71,12.29,37.64,33.09,11.8,57.4,60.01,12.03,50.58,52.175,38.12,32.39,33.3,48.29,26.525,41.31,67.05,65.43,54.36,8.236
DYNC1H1,14,Skin cancer,ENSG00000197102.6,54.385,42.83,42.5,63.53,60.07,76.52,69.12,40.64,52.35,46.72,145.3,131.8,77.67,79.12,44.94,57.76,52.76,39.64,66.17,50.995,45.295,41.085,132.8,47.62,57.38,68.89,43.035,68.7,40,74.37,54.35,31.92,29.97,19.68,9.111,56.36,41.5,49.23,78.715,61.2,15.87,58.19,40.81,53.79,62.49,39.96,37.73,31.515,44.65,53.38,64.45,49.9,8.252
DYRK1A,21,Psoriasis,ENSG00000157540.15,23.755,18.97,16.33,23.24,22.52,30.06,28.99,10.295,13.04,10.905,30.05,23.72,14.575,18.34,10.18,11.95,13.12,8.525,11.7,9.1365,23.665,24.62,16.3,28.37,32.67,22.45,17.015,23.11,15.68,23.8,31.04,13.64,10.69,10.42,6.204,26.13,18.76,20.45,25.615,30.74,6.4005,22.62,21.61,22.22,22.85,19.34,25.585,13.215,26.97,31.79,35.35,24.84,7.921
